angDist,_RAJ2000,_DEJ2000,RAJ2000,DEJ2000,rmag,USNO-B1.0,RAJ2000,DEJ2000,errHalfMaj,errHalfMin,errPosAng,Bmag1,Rmag1,Bmag2,Rmag2,Imag,Epoch,pmRA,pmDE,e_pmRA,e_pmDE,Flags,B1s/g,R1s/g,B2s/g,R2s/g,Is/g
0.027625,2.8309583,-3.1625611,00 11 19.43,-03 09 45.22,19.18,0868-00001709,2.830964,-3.162556,1.019,1.019,90,21.12,19.18,,17.02,,1966.4,704,16,35,154,...,3,3,,3,
0.039788,3.4710417,3.3890306,00 13 53.05,+03 23 20.51,19.32,0933-00003340,3.471031,+3.389028,1.019,0.223,0,,19.32,,19.44,,1969.6,0,0,0,0,...,,7,,4,
0.042053,3.895375,17.5902417,00 15 34.89,+17 35 24.87,19.09,1075-00003793,3.895387,+17.590239,1.019,1.019,90,,19.09,,19.18,,1975.1,0,0,0,0,...,,8,,1,
0.027510,4.030125,21.9798389,00 16 07.23,+21 58 47.42,18.15,1119-00004489,4.030117,+21.979837,1.019,1.019,90,20.06,18.15,,19.01,,1964.3,0,0,0,0,...,4,9,,1,
3.285716,4.030125,21.9798389,00 16 07.23,+21 58 47.42,18.15,1119-00004490,4.030742,+21.980550,0.775,0.433,0,,19.69,,20.60,,1971.1,0,0,0,0,...,,3,,3,
0.061784,9.355875,27.2095917,00 37 25.41,+27 12 34.53,19.36,1172-00010485,9.355856,+27.209589,1.019,1.019,90,,19.36,,18.29,,1971.2,0,0,0,0,...,,3,,3,
0.059795,10.3450833,3.3679194,00 41 22.82,+03 22 04.51,19.42,0933-00011948,10.345100,+3.367920,1.019,0.475,0,,19.42,,19.16,10.60,1950.0,0,-10,0,1,...,,10,,8,
0.056233,10.6614583,12.5132389,00 42 38.75,+12 30 47.66,18.4,1025-00008291,10.661473,+12.513245,1.019,1.019,90,,18.40,,19.34,,1972.2,0,0,0,0,...,,8,,4,
0.030030,12.8133333,-5.6732889,00 51 15.20,-05 40 23.84,19.42,0843-00008333,12.813339,-5.673295,1.019,1.019,90,,19.42,21.71,19.13,,1977.7,296,-142,138,47,...,,1,8,5,
0.036481,14.6340833,17.8011806,00 58 32.18,+17 48 04.25,19.41,1078-00014278,14.634073,+17.801178,0.651,0.344,0,,19.41,,18.85,,1972.4,0,0,0,0,...,,10,,3,
0.050975,24.8732083,9.0109111,01 39 29.57,+09 00 39.28,19.38,0990-00014317,24.873195,+9.010906,1.019,1.019,90,,19.38,,19.22,,1969.2,0,0,0,0,...,,8,,9,
0.061207,28.8779167,9.0117194,01 55 30.70,+09 00 42.19,18.82,0990-00016986,28.877900,+9.011723,1.019,1.019,90,20.67,18.82,,19.42,,1967.1,0,0,0,0,...,8,7,,1,
