1 2 3 4 5 6
00 16 06.92 +21 58 47.82
00 42 38.77 +12 30 36.75
00 58 32.63 +17 48 19.44
01 56 36.27 +22 52 11.87
02 12 54.59 +06 51 42.78
02 53 02.20 -01 40 19.44
08 22 17.55 +37 46 20.67
09 39 28.81 +22 39 40.76
09 50 13.97 +49 39 36.40
10 03 39.48 +16 44 55.61
10 55 38.50 +14 55 29.15
11 07 51.05 +35 02 12.17
11 24 24.06 +02 07 26.26
11 49 31.87 +16 07 15.09
11 56 18.10 +67 04 23.15
12 31 55.05 -02 06 28.11
12 42 11.02 +16 08 57.25
12 53 46.58 +27 21 06.67
12 53 55.05 +62 17 08.94
13 32 01.90 +12 10 17.53
15 38 31.31 +43 02 01.23
15 41 05.11 +09 00 54.75
15 48 54.99 +62 24 48.04
16 10 01.70 +61 31 06.88
16 24 00.44 +61 20 59.43
16 34 26.23 +34 04 25.11
18 30 56.35 +40 54 17.80
18 53 29.27 +77 54 56.64
