cntr_01,dist_x,pang_x,ra_01,dec_01,usno_b1,tycho2,ra,dec,e_ra,e_dec,epoch,pm_ra,pm_dec,e_pm_ra,e_pm_dec,e_fit_ra,e_fit_dec,b1_mag,b1_cal,b1_xi,b1_eta,r1_mag,r1_cal,r1_xi,r1_eta,b2_mag,b2_cal,b2_xi,b2_eta,r2_mag,r2_cal,r2_xi,r2_eta,i_mag,i_cal,i_xi,i_eta
1,1.368241,1.586056,33.533562077,-15.612774921,0743-0022143,,33.533573,-15.612395,669,960,1991.7,0,0,0,0,9,9,,,,,,,,,,,,,19.62,2,0.66,-0.97,18.74,2,-0.67,0.96
2,0.478599,-29.536306,28.877122357,9.0105843327,0990-0016984,,28.877056,9.0107,133,269,1983.5,-16,26,5,11,1,3,,,,,19.16,2,-0.02,0.02,20.94,2,0.0,0.08,19.13,2,0.13,-0.32,18.58,2,-0.13,0.2
3,0.334177,-53.70355,43.255861847,-1.6711219502,0883-0050629,,43.255787,-1.671067,16,78,1993.1,0,0,0,0,0,1,,,,,,,,,18.65,2,-0.02,-0.08,17.26,2,0.0,0.11,17.23,2,0.01,-0.05
4,0.171163,96.292459,117.30748167,31.328930211,1213-0154402,,117.307537,31.328925,473,378,1968.7,0,0,0,0,8,6,20.71,1,0.36,0.38,19.11,2,-0.67,-0.52,20.74,1,0.3,0.12,,,,,,,,
5,,,149.93562766,20.953682114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.128366,23.496226,170.26106566,22.029998299,1120-0218023,,170.261081,22.030031,70,68,1979.4,8,0,2,2,1,1,20.69,1,0.08,0.01,18.68,1,-0.08,-0.03,20.44,2,-0.05,0.09,18.8,2,-0.05,0.02,17.64,2,0.08,-0.12
7,0.756086,-29.877473,160.67071568,17.46177089,1074-0225117,,160.670606,17.461953,182,318,1981.5,-20,2,6,11,2,4,,,,,19.44,1,0.02,0.03,,,,,19.64,2,-0.18,-0.32,18.68,2,0.15,0.27
8,0.17533,-103.593357,163.68930959,-5.8614195534,0841-0217186,,163.689262,-5.861431,129,80,1976.0,0,0,0,0,2,1,20.1,1,0.01,0.17,18.95,2,0.33,0.01,20.24,2,0.05,0.12,19.15,1,-0.36,-0.18,18.34,2,-0.06,-0.15
9,0.058849,-107.640871,228.46969379,9.325904954,0993-0251829,,228.469678,9.3259,84,38,1978.5,0,0,0,0,1,0,19.04,2,0.15,0.09,19.28,2,-0.18,-0.12,20.14,2,-0.16,0.01,19.19,2,0.17,0.0,18.62,2,0.0,0.0
10,0.171748,2.136989,222.45049414,62.577055325,1525-0257223,,222.450498,62.577103,114,10,1979.4,0,0,0,0,2,0,18.65,2,0.15,0.03,17.18,2,-0.31,-0.01,18.67,2,0.18,-0.02,16.87,2,0.13,-0.02,16.33,2,-0.18,-0.01
11,0.273184,-44.107266,245.47106754,71.848620512,1618-0117984,,245.470898,71.848675,176,120,1978.2,0,0,0,0,3,2,20.54,2,-0.22,0.27,18.95,1,0.38,0.11,21.08,1,0.31,0.08,19.0,2,-0.41,-0.16,18.38,1,-0.08,-0.32
12,0.289397,16.665376,277.7421865,40.899967989,1309-0305148,,277.742217,40.900045,217,72,1977.8,0,0,0,0,4,1,20.62,1,-0.75,-0.17,18.55,1,0.19,0.15,20.46,1,0.2,-0.11,19.37,1,0.13,0.11,18.63,1,0.21,-0.02
