,ID_USNO,RA_USNO,DEC_USNO,PM?,ID_U-PS,RA_U-PS,DEC_U-PS,d_U-PS,ID_PS-U,RA_PS-U,DEC_PS-U,d_PS-U,1-1_Match,Default_Match,Closest Match,PS_Match?
0,0868-00001709,2.8446528888888887,-3.162244888888889,1,PSO J002.8450-03.1619,2.8450077,-3.16186647,1.866136446110747,,,,,0,1,0,1
1,0933-00003340,3.471031,3.389028,0,PSO J003.4712+03.3889,3.47121035,3.38886984,0.8600052974463567,0933-0003340,3.471031,3.389028,0.860005,0,0,0,0
2,1075-00003793,3.895387,17.590239,0,PSO J003.8948+17.5905,3.89475485,17.59053852,2.42253196346208,1075-0003793,3.895387,17.590239,2.422532,0,0,1,1
3,1172-00010485,9.355856,27.209589,0,PSO J009.3554+27.2097,9.35540047,27.20972713,1.5408786744678025,1172-0010485,9.355856,27.209589,1.540879,0,0,1,1
4,1025-00008291,10.661473,12.513245,0,PSO J010.6607+12.5132,10.66071088,12.51321091,2.681269860127568,1025-0008291,10.661473,12.513245,2.68127,0,0,1,1
5,0843-00008333,12.819094555555555,-5.676056111111111,1,PSO J012.8195-05.6757,12.81954588,-5.67565018,2.179357563312793,,,,,0,1,0,1
6,0883-00050634,43.257887,-1.669906,0,PSO J043.2579-01.6699,43.2579154,-1.66988811,0.1207974176035927,0883-0050634,43.257887,-1.669906,0.120797,0,0,0,0
7,0954-00034151,52.895373,5.412787,0,PSO J052.8948+05.4129,52.89479371,5.41285031,2.0886174351070914,0954-0034151,52.895373,5.412787,2.088617,0,0,0,0
8,1146-00153142,120.460128,24.6009,0,PSO J120.4599+24.6008,120.45992144,24.60075151,0.861913161070695,1146-0153142,120.460128,24.6009,0.861913,0,0,0,0
9,1483-00206752,125.43119455555556,58.30877266666667,1,PSO J125.4311+58.3090,125.43107958,58.30898142,0.7823377649401408,,,,,0,1,0,1
10,1277-00202616,125.56641155555556,37.76629811111111,1,PSO J125.5658+37.7665,125.56580709,37.76652299,1.9011962384714087,1277-0202616,125.568706,37.768087,9.988016,0,0,1,1
11,1514-00168713,127.436362,61.493006,0,PSO J127.4376+61.4929,127.43763444,61.49290514,2.2162027548011145,1514-0168713,127.436362,61.493006,2.216203,0,0,1,1
12,1479-00240866,131.02600555555557,57.955180666666664,1,PSO J131.0247+57.9552,131.02465654,57.95522181,2.5810024784236725,1479-0240867,131.020381,57.955759,8.392477,0,0,1,1
