,ID_USNO,RA_USNO,DEC_USNO,PM?,ID_U-G,RA_U-G,DEC_U-G,d_U-G,ID_G-U,RA_G-U,DEC_G-U,d_G-U,1-1_Match,Default_Match,Closest Match,GAIA_Match?
0,0843-00008333,33.533339,-15.613295,1,Gaia DR3 5145133296031761408,33.53356207737,-15.61277492142,2.02575,0743-0022143,33.533573,-15.612395,1.368241,0,0,0,0
1,0990-00016986,28.8779,9.011723,0,Gaia DR3 2570523392486888064,28.87712235708,9.01058433275,4.94454,0990-0016984,28.877056,9.0107,0.478599,0,0,0,0
2,0883-00050634,43.257887,-1.669906,0,Gaia DR3 5187541734393616768,43.25586184711,-1.67112195015,8.501104,0883-0050629,43.255787,-1.671067,0.334177,0,0,0,0
3,1277-00202616,117.308706,31.328087,1,Gaia DR3 880816840866314496,117.30748167451,31.32893021114,4.836266,1213-0154402,117.307537,31.328925,0.171163,0,0,0,0
4,1396-00208964,149.93742799999998,20.954466999999998,1,Gaia DR3 627944697081990912,149.93562765804,20.95368211445,6.679674,,,,,0,1,0,1
5,1047-00187558,170.261864,22.0321,1,Gaia DR3 3990986248278002944,170.26106566416,22.02999829925,8.021466,1120-0218023,170.261081,22.030031,0.128366,0,0,0,0
6,1071-00217752,160.670003,17.461253000000003,1,Gaia DR3 3985727657823939072,160.670715677,17.46177088994,3.076656,1074-0225117,160.670606,17.461953,0.756086,0,0,0,0
7,0921-00256591,163.68884200000002,-5.859513000000001,1,Gaia DR3 3764674658990300416,163.68930958735,-5.86141955341,7.064907,0841-0217186,163.689262,-5.861431,0.17533,0,0,0,0
8,1168-00245801,228.47180899999998,9.327517,1,Gaia DR3 1167297584780445568,228.46969378699,9.32590495397,9.49425,0993-0251829,228.469678,9.3259,0.058849,0,0,0,0
9,1525-00257216,222.44815,62.578462,0,Gaia DR3 1620202852512394496,222.45049413733,62.57705532535,6.383507,1525-0257223,222.450498,62.577103,0.171748,0,0,0,0
10,1146-00226194,245.468959,71.848331,1,Gaia DR3 1654096496733795072,245.471067538,71.84862051223,2.584244,1618-0117984,245.470898,71.848675,0.273184,0,0,0,0
11,1309-00305148,277.742217,40.900045,0,Gaia DR3 2110356954263004160,277.74218649957,40.8999679885,0.289397,1309-0305148,277.742217,40.900045,0.289397,0,0,0,0
