,USNO Object (ID),RA (deg),DEC (deg),r (mag),PM?,PM_RA (mas/yr),DEC_RA (mas/yr),Closest Pan-STARRS Object (ID),PS Match?,Closest GAIA Object (ID),G Match?,Candidate?
0,0868-00001709,52.110964,-2.042556,19.18,1,704,16,PSO J052.1102-02.0424,1,0,0,0
1,0933-00003340,3.471031,3.389028,19.32,0,0,0,PSO J003.4712+03.3889,0,0,0,1
2,1075-00003793,3.895387,17.590239,19.09,0,0,0,PSO J003.8948+17.5905,1,0,0,0
3,1119-00004489,4.030117,21.979837,18.15,0,0,0,0,0,0,0,1
4,1172-00010485,9.355856,27.209589,19.36,0,0,0,PSO J009.3554+27.2097,1,0,0,0
5,0933-00011948,10.3451,2.6679199999999996,19.42,0,0,-10,PSO J010.3455+02.6675,1,0,0,0
6,1025-00008291,10.661473,12.513245,18.4,0,0,0,PSO J010.6607+12.5132,1,0,0,0
7,0843-00008333,33.533339,-15.613295,19.42,1,296,-142,PSO J033.5336-15.6128,0,Gaia DR3 5145133296031761408,0,1
8,1078-00014278,14.634073,17.801178,19.41,0,0,0,0,0,0,0,1
9,0990-00014317,24.873195,9.010906,19.38,0,0,0,0,0,0,0,1
10,0990-00016986,28.8779,9.011723,18.82,0,0,0,0,0,Gaia DR3 2570523392486888064,0,1
11,1128-00029539,29.150439,22.869123,16.91,0,0,0,0,0,0,0,1
12,0968-00022154,33.227775,6.862581,16.24,0,0,0,0,0,0,0,1
13,0883-00050634,43.257887,-1.669906,18.54,0,0,0,PSO J043.2579-01.6699,0,Gaia DR3 5187541734393616768,0,1
14,0954-00034151,52.895373,5.412787,18.47,0,0,0,PSO J052.8948+05.4129,0,0,0,1
15,0982-00060281,67.961184,8.270728,19.23,0,0,0,0,0,0,0,1
16,1017-00041859,70.986948,11.760406,18.54,0,0,0,0,0,0,0,1
17,1728-00020241,99.705237,82.851228,15.12,0,0,0,0,0,0,0,1
18,1273-00191867,111.867539,49.116288999999995,18.57,1,-72,168,0,0,0,0,1
19,1146-00153142,120.460128,24.6009,19.01,0,0,0,PSO J120.4599+24.6008,0,0,0,1
20,1483-00206752,107.096289,77.623406,19.01,1,-262,276,PSO J107.0926+77.6235,1,0,0,0
21,1277-00202616,117.308706,31.328087,18.27,1,-118,-92,0,0,Gaia DR3 880816840866314496,0,1
22,1514-00168713,127.436362,61.493006,18.95,0,0,0,PSO J127.4376+61.4929,1,0,0,0
23,1520-00179234,128.828042,62.064314,19.43,0,0,0,0,0,0,0,1
24,1479-00240866,154.25955000000002,81.048764,17.84,1,332,330,0,0,0,0,1
25,1529-00221027,132.82205,62.976712,18.91,0,0,0,PSO J132.8228+62.9773,0,0,0,1
26,1524-00210123,139.692639,62.496967,18.6,0,0,0,0,0,0,0,1
27,1051-00180422,143.290956,15.143325,19.17,0,0,0,0,0,0,0,1
28,1278-00223059,144.088334,37.828853,18.82,0,0,0,PSO J144.0878+37.8283,0,0,0,1
29,1126-00203513,144.86945,22.661587,19.48,0,0,0,PSO J144.8687+22.6616,1,0,0,0
30,1069-00190038,145.503717,16.932306,18.86,0,0,0,0,0,0,0,1
31,1211-00172391,145.7808,31.199828,18.77,0,0,0,0,0,0,0,1
32,1396-00208964,149.93742799999998,20.954466999999998,18.32,1,34,-410,0,0,Gaia DR3 627944697081990912,1,0
33,1121-00212056,150.888964,22.150459,19.27,0,0,0,0,0,0,0,1
34,1067-00184401,150.91472,16.750331,17.94,0,0,0,0,0,0,0,1
35,1047-00187558,170.261864,22.0321,14.45,1,254,104,0,0,Gaia DR3 3990986248278002944,0,1
36,1156-00172014,153.86302,25.662203,19.42,0,0,0,PSO J153.8629+25.6620,1,0,0,0
37,1112-00190409,154.747192,21.236992,19.38,0,0,0,PSO J154.7472+21.2368,1,0,0,0
38,1050-00189608,162.005081,12.534948,18.89,1,102,-36,PSO J162.0054+12.5348,1,0,0,0
39,1144-00176282,155.519045,24.44112,18.9,0,0,0,0,0,0,0,1
40,1068-00197046,157.006284,33.635850000000005,18.88,1,16,240,0,0,0,0,1
41,1127-00223968,157.614331,22.738103,19.08,0,0,0,0,0,0,0,1
42,1118-00210657,160.201848,21.891209,19.36,0,0,0,0,0,0,0,1
43,1071-00217752,160.670003,17.461253000000003,18.99,1,-2,4,0,0,Gaia DR3 3985727657823939072,0,1
44,1052-00197620,162.898862,15.227423,18.91,0,0,0,PSO J162.8989+15.2272,0,0,0,1
45,1049-00195205,163.909689,14.927428,18.54,0,0,0,0,0,0,0,1
46,1250-00187336,166.962556,35.037362,19.23,0,0,0,0,0,0,0,1
47,1088-00191463,171.453225,0.3611639999999987,18.38,1,64,-264,0,0,0,0,1
48,0982-00235303,200.60848399999998,3.6762369999999995,18.23,1,456,-66,0,0,0,0,1
49,0979-00247952,181.676206,5.848806,18.69,1,166,-30,0,0,0,0,1
50,0921-00256591,163.68884200000002,-5.859513000000001,19.03,1,-106,-114,0,0,Gaia DR3 3764674658990300416,0,1
51,1002-00196922,172.824937,10.223714,18.6,0,0,0,PSO J172.8255+10.2235,0,0,0,1
52,0942-00195735,172.895448,4.264323,19.25,0,0,0,0,0,0,0,1
53,0925-00270619,149.546998,-1.346575,19.03,1,-336,-56,0,0,0,0,1
54,0953-00203706,173.105667,5.3825,19.21,0,0,0,0,0,0,0,1
55,1061-00195926,177.382078,16.121484,17.05,0,0,0,PSO J177.3818+16.1218,0,0,0,1
56,1530-00234925,178.382875,63.066495,19.43,0,0,0,0,0,0,0,1
57,1570-00148491,179.092006,67.076764,19.49,0,0,0,PSO J179.0912+67.0762,1,0,0,0
58,1576-00165730,181.514306,81.954284,19.27,1,-42,204,0,0,0,0,1
59,1064-00198442,185.816642,16.470814,19.23,0,0,0,0,0,0,0,1
60,1512-00195103,187.406573,61.299989,18.44,0,0,0,PSO J187.4060+61.2998,0,0,0,1
61,1107-00208153,187.620025,20.716934,16.95,0,0,0,PSO J187.6205+20.7169,0,0,0,1
